definition.description,definition.solution,severity,asset.display_ipv4_address,port,protocol,asset.host_name,definition.cve
CVE-2020-50959: Tomcat on Ubuntu 20.04 LTS offers ANON cipher suites. An attacker can steal session tokens or credentials via a crafted HTTP request. Listening on port 8080/TCP.,Apply HTML entity encoding to user inputs before rendering in templates. Use 'htmlspecialchars()' or equivalent in the application at /etc/mysql/.,6.2,192.168.10.148,443,TCP,web-192-168-10-148,CVE-2020-76112
CVE-2020-76321: Apache httpd on SUSE Linux Enterprise 15 offers MD5-based cipher suites. An attacker can read sensitive memory contents via an integer overflow in the parsing routine. Listening on port 8080/TCP.,Apply HTML entity encoding to user inputs before rendering in templates. Use 'htmlspecialchars()' or equivalent in the application at /etc/mysql/.,4.6,10.1.63.50,8443,TCP,web-10-1-63-50,CVE-2020-63330
Lighttpd 1.1.0 on CentOS 8 Stream is affected by a critical RCE vulnerability (CVE-2022-81825). An unauthenticated remote attacker can read sensitive memory contents through a race condition in the kernel scheduler. Vulnerable endpoint: /var/lib/mysql/. Port: 80/TCP.,Apply the vendor patch for CVE-2022-99547 immediately. Upgrade Nginx to version 2.0.0 or later.,8.9,172.16.0.247,22,TCP,web-172-16-0-247,CVE-2022-73956
glibc version 9.0.0 on CentOS 7 is outdated and affected by CVE-2023-21919. The package contains a known vulnerability that allows an attacker to execute arbitrary code with elevated privileges via SQL metacharacter injection in the login form. Package location: C:\inetpub\wwwroot\. Port: 22/TCP.,Disable the vulnerable endpoint at /etc/apache2/ until the patch is applied. Implement WAF rules to block exploitation attempts.,5.5,192.168.1.72,80,TCP,dc-192-168-1-72,
Linux kernel 3.0.0 on SUSE Linux Enterprise 15 contains a heap-based buffer overflow (CVE-2021-40475). A local or remote attacker can crash the service and trigger a denial of service through improper bounds checking. Affected subsystem: syscall handler. Port: 23/TCP.,"Add firewall rules to restrict access to port 22 to authorized management networks only. Additionally, verify patch 34.",8.9,10.2.130.127,23,TCP,ws-10-2-130-127,CVE-2021-80378
CVE-2023-99912: OAuth2 CSRF vulnerability in LDAP 8.0.3 on Alpine Linux 3.17. Missing state parameter allows attackers to exfiltrate confidential data from the host via an integer overflow in the parsing routine. Port: 8443/TCP; config: /usr/local/bin/.,Restrict SSH access with AllowUsers/AllowGroups directives. Enable fail2ban to block brute-force attempts on port 22.,9.0,10.1.173.190,80,TCP,nas-10-1-173-190,CVE-2023-84843
CVE-2022-43361: Time-based SQLi in Tomcat on Ubuntu 22.04 LTS. Unsanitized ORDER BY clause allows an attacker to read sensitive memory contents through a specially crafted packet. Affected app: /etc/mysql/; port 3306/TCP.,Configure Content-Security-Policy in /var/www/html/ to restrict script sources. Add X-Content-Type-Options: nosniff.,7.9,192.168.1.172,3306,TCP,fw-192-168-1-172,CVE-2022-72031
FreeBSD kernel 8.0.3 on Red Hat Enterprise Linux 9 is affected by a local privilege escalation (CVE-2022-25187). A low-privileged attacker can bypass authentication controls via SQL metacharacter injection in the login form. Affected path: /var/log/. Port: 445/TCP.,Review and implement all mitigations specified in the vendor bulletin. Update Tomcat to the patched release (2.2.0).,7.1,10.2.138.245,3389,TCP,nas-10-2-138-245,CVE-2022-45976
CVE-2022-88135: NSS 2.3.1 on Oracle Linux 8 ships with a vulnerable TLS stack. An attacker via SQL metacharacter injection in the login form could inject malicious payloads into database queries. Binaries located at C:\Program Files\. Listening on port 636/TCP.,Set SSLCipherSuite to HIGH:!aNULL:!MD5:!3DES in /etc/nginx/. Verify with 'nmap --script ssl-enum-ciphers'.,8.0,10.1.249.237,443,TCP,gw-10-1-249-237,CVE-2022-22217
CVE-2022-20494: BoringSSL 3.1.2 on Red Hat Enterprise Linux 9 ships with a vulnerable TLS stack. An attacker through reflected JavaScript payloads in query parameters could escalate privileges to SYSTEM or root. Binaries located at C:\inetpub\wwwroot\. Listening on port 8443/TCP.,Update IIS config to disable MD5 cipher suites. Use Mozilla SSL Configuration Generator recommendations.,7.6,172.16.0.144,443,TCP,srv-172-16-0-144,CVE-2022-57537
Lighttpd 1.1.0 on CentOS 8 Stream is affected by a critical RCE vulnerability (CVE-2022-81825). An unauthenticated remote attacker can read sensitive memory contents through a race condition in the kernel scheduler. Vulnerable endpoint: /var/lib/mysql/. Port: 80/TCP.,Update Jetty to the latest version (1.3.7). Restrict network access to port 9090 from untrusted networks.,8.2,10.0.158.21,22,TCP,gw-10-0-158-21,
CVE-2022-93958: Time-based SQLi in Nginx on Ubuntu 22.04 LTS. Unsanitized ORDER BY clause allows an attacker to exfiltrate confidential data from the host via an integer overflow in the parsing routine. Affected app: /opt/app/; port 3306/TCP.,Configure Content-Security-Policy in /var/www/html/ to restrict script sources. Add X-Content-Type-Options: nosniff.,8.1,172.16.0.31,80,TCP,print-172-16-0-31,
Linux kernel 1.3.7 on Windows Server 2019 contains a heap-based buffer overflow (CVE-2021-95267). A local or remote attacker can modify or delete critical system files via a crafted HTTP request. Affected subsystem: syscall handler. Port: 445/TCP.,"Add firewall rules to restrict access to port 22 to authorized management networks only. Additionally, verify patch 34.",9.8,10.0.150.142,23,TCP,web-10-0-150-142,CVE-2021-89429
"Outdated MbedTLS (1.0.1) detected on Windows 11 Pro (CVE-2022-47700). The TLS handshake implementation lacks protection against BEAST/POODLE/CRIME attacks, allowing a remote adversary to enumerate internal network hosts. Port 995/TCP; config at /etc/openssl/.",Set SSLCipherSuite to HIGH:!aNULL:!MD5:!3DES in /etc/nginx/. Verify with 'nmap --script ssl-enum-ciphers'.,7.2,172.16.1.63,995,TCP,dc-172-16-1-63,CVE-2022-47700
"Outdated MbedTLS (3.0.0) detected on Fedora 36 (CVE-2022-59941). The TLS handshake implementation lacks protection against BEAST/POODLE/CRIME attacks, allowing a remote adversary to enumerate internal network hosts. Port 636/TCP; config at /etc/nginx/.",Generate a new CSR and obtain a renewed certificate from Let. Update the certificate at C:\Windows\System32\.,8.5,172.16.0.247,636,TCP,web-172-16-0-247,CVE-2022-23356
CVE-2023-89408: Unpatched wget 2.1.4 on Fedora 36. Multiple known CVEs affect this version. An attacker can forge authentication tokens by abusing a misconfigured SNMP community string. Port: 22/TCP; installed at /usr/lib/ssl/.,Disable the vulnerable endpoint at /etc/apache2/ until the patch is applied. Implement WAF rules to block exploitation attempts.,7.7,10.0.186.118,21,TCP,nas-10-0-186-118,CVE-2023-73438
CVE-2023-84261: OAuth2 CSRF vulnerability in SAML IdP 2.1.4 on Ubuntu 18.04 LTS. Missing state parameter allows attackers to modify or delete critical system files by exploiting a use-after-free condition. Port: 22/TCP; config: C:\inetpub\wwwroot\.,Run 'pip install --upgrade libssl' or 'npm audit fix' to update vulnerable dependencies at /usr/local/bin/.,8.0,192.168.2.40,389,TCP,web-192-168-2-40,CVE-2023-85650
"GnuTLS version 2.1.4 on Debian 12 (Bookworm) is affected by CVE-2022-37772. The library implements deprecated TLS 1.0 ciphersuites, allowing an attacker to read sensitive memory contents via a crafted HTTP request. Affected path: C:\inetpub\wwwroot\. Port: 443/TCP.",Generate a new CSR and obtain a renewed certificate from Comodo. Update the certificate at /etc/ssh/.,8.1,10.2.67.30,995,TCP,ws-10-2-67-30,CVE-2022-69049
CVE-2023-90807: Unpatched libcurl 3.4.5 on Windows Server 2016. Multiple known CVEs affect this version. An attacker can execute arbitrary code with elevated privileges by exploiting a use-after-free condition. Port: 21/TCP; installed at /usr/lib/ssl/.,Disable the vulnerable endpoint at /etc/apache2/ until the patch is applied. Implement WAF rules to block exploitation attempts.,8.4,10.0.186.118,80,TCP,nas-10-0-186-118,CVE-2023-43725
"SUID binary misconfiguration on Windows 11 Pro (CVE-2022-28924). The pkexec binary at /etc/nginx/ has incorrect SUID bits, allowing a local user to exfiltrate confidential data from the host by sending a malformed TLS ClientHello. OS: Windows 10 Enterprise; port 3389/TCP.","Implement micro-segmentation with host-based firewalls. Restrict traffic to only required ports between segments. Additionally, verify patch 9.",9.2,192.168.1.149,135,TCP,print-192-168-1-149,CVE-2022-17355
CVE-2021-45382: Linux kernel 8.0.3 on Windows 10 Enterprise is vulnerable to an integer overflow leading to a buffer overwrite. An attacker can gain root-level access to the system via an integer overflow in the parsing routine. Kernel module path: /usr/lib/ssl/; exposed via port 445/TCP.,"Add firewall rules to restrict access to port 22 to authorized management networks only. Additionally, verify patch 34.",8.8,192.168.2.40,22,TCP,web-192-168-2-40,
Linux kernel 6.0.0 on Ubuntu 18.04 LTS contains a heap-based buffer overflow (CVE-2021-33148). A local or remote attacker can gain root-level access to the system through reflected JavaScript payloads in query parameters. Affected subsystem: network stack. Port: 445/TCP.,"Add firewall rules to restrict access to port 22 to authorized management networks only. Additionally, verify patch 34.",9.5,10.0.191.81,22,TCP,srv-10-0-191-81,CVE-2021-71050
End-of-life glibc (2.2.0) installed on Windows 11 Pro (CVE-2023-60470). No security patches are available for this version; an attacker can bypass authentication controls. Binary path: /opt/app/.,Disable the vulnerable endpoint at /etc/apache2/ until the patch is applied. Implement WAF rules to block exploitation attempts.,8.2,192.168.1.72,443,TCP,dc-192-168-1-72,CVE-2023-32988
CVE-2022-50662: MbedTLS 4.1.3 on Debian 11 (Bullseye) ships with a vulnerable TLS stack. An attacker via a heap buffer overflow in the DNS response handler could forge authentication tokens. Binaries located at /etc/apache2/. Listening on port 636/TCP.,Update Apache httpd config to disable MD5 cipher suites. Use Mozilla SSL Configuration Generator recommendations.,8.1,10.2.171.166,993,TCP,app-10-2-171-166,CVE-2022-46666
"CVE-2021-46497: DOM-based XSS in Jetty on Fedora 37. The window.location.hash is passed to innerHTML without sanitization at /etc/snmp/, allowing an attacker to execute arbitrary code with elevated privileges through a specially crafted packet. Port: 80/TCP.",Apply the vendor patch for CVE-2022-20008 immediately. Upgrade Lighttpd to version 6.0.0 or later.,6.7,192.168.1.163,80,TCP,app-192-168-1-163,
CVE-2022-99091: BoringSSL 1.2.3 on CentOS 8 Stream ships with a vulnerable TLS stack. An attacker by sending a malformed TLS ClientHello could bypass authentication controls. Binaries located at /etc/mysql/. Listening on port 993/TCP.,Generate a new CSR and obtain a renewed certificate from s Encrypt. Update the certificate at /etc/nginx/.,7.5,192.168.10.19,995,TCP,nas-192-168-10-19,CVE-2022-14705
CVE-2022-42397: Time-based SQLi in Apache httpd on Red Hat Enterprise Linux 8. Unsanitized ORDER BY clause allows an attacker to read sensitive memory contents by abusing a misconfigured SNMP community string. Affected app: /usr/local/bin/; port 3306/TCP.,Configure Content-Security-Policy in /var/www/html/ to restrict script sources. Add X-Content-Type-Options: nosniff.,9.0,192.168.1.17,1433,TCP,fw-192-168-1-17,CVE-2022-48974
CVE-2021-39402: FreeBSD kernel 2.0.0 on CentOS 7 is vulnerable to an integer overflow leading to a buffer overwrite. An attacker can forge authentication tokens via a crafted HTTP request. Kernel module path: /usr/local/bin/; exposed via port 445/TCP.,"Add firewall rules to restrict access to port 22 to authorized management networks only. Additionally, verify patch 34.",7.7,172.16.1.1,445,TCP,app-172-16-1-1,CVE-2021-31750
"CVE-2022-15161: Template injection leading to RCE in Tomcat 1.1.0 on Debian 11 (Bullseye). Server-side template expressions are evaluated from user input at /opt/app/, enabling an attacker to crash the service and trigger a denial of service through a specially crafted packet. Port: 443/TCP.",Replace end-of-life sudo (9.0.0) with the latest maintained version. Update lock files.,8.6,10.0.172.168,443,TCP,ws-10-0-172-168,CVE-2022-39444
"CVE-2021-26338: Missing Content-Security-Policy header on Apache httpd 2.1.4 (Oracle Linux 8). Without CSP, an attacker can escalate privileges to SYSTEM or root by exploiting weak entropy in session token generation. Web root: /srv/www/; port 80/TCP.",Disable the vulnerable endpoint at /etc/apache2/ until the patch is applied. Implement WAF rules to block exploitation attempts.,4.8,10.1.249.237,80,TCP,gw-10-1-249-237,CVE-2021-78458
CVE-2022-99091: BoringSSL 1.2.3 on CentOS 8 Stream ships with a vulnerable TLS stack. An attacker by sending a malformed TLS ClientHello could bypass authentication controls. Binaries located at /etc/mysql/. Listening on port 993/TCP.,Generate a new CSR and obtain a renewed certificate from s Encrypt. Update the certificate at /etc/nginx/.,7.4,10.2.32.169,995,TCP,dc-10-2-32-169,CVE-2022-94896
CVE-2022-42397: Time-based SQLi in Apache httpd on Red Hat Enterprise Linux 8. Unsanitized ORDER BY clause allows an attacker to read sensitive memory contents by abusing a misconfigured SNMP community string. Affected app: /usr/local/bin/; port 3306/TCP.,Configure Content-Security-Policy in /var/www/html/ to restrict script sources. Add X-Content-Type-Options: nosniff.,6.8,192.168.10.42,8080,TCP,fw-192-168-10-42,CVE-2022-43466
"Jetty 2.2.0 on CentOS 8 Stream is vulnerable to reflected XSS (CVE-2021-16889). User-controlled input in the message parameter is rendered without encoding, allowing an attacker to inject malicious payloads into database queries by exploiting weak entropy in session token generation. Application path: C:\Windows\System32\. Port: 443/TCP.",Apply the vendor patch for CVE-2022-20008 immediately. Upgrade Lighttpd to version 6.0.0 or later.,7.4,10.2.138.245,8080,TCP,nas-10-2-138-245,CVE-2021-62913
Weak cipher suite enabled on Fedora 37 running LibreSSL 4.1.3 (CVE-2020-96034). The NULL cipher allows an attacker to escalate privileges to SYSTEM or root by exploiting a use-after-free condition. Port: 443/TCP; config: /etc/openssl/.,Apply HTML entity encoding to user inputs before rendering in templates. Use 'htmlspecialchars()' or equivalent in the application at /etc/mysql/.,5.1,10.0.220.29,8443,TCP,db-10-0-220-29,
"Outdated LibreSSL (2.0.0) detected on Windows 10 Enterprise (CVE-2022-59081). The TLS handshake implementation lacks protection against BEAST/POODLE/CRIME attacks, allowing a remote adversary to gain root-level access to the system. Port 993/TCP; config at C:\Windows\System32\.",Generate a new CSR and obtain a renewed certificate from s Encrypt. Update the certificate at /etc/nginx/.,5.8,10.1.217.48,443,TCP,ws-10-1-217-48,CVE-2022-97500
CVE-2023-13584: Unpatched curl 1.1.0 on Alpine Linux 3.17. Multiple known CVEs affect this version. An attacker can steal session tokens or credentials via an integer overflow in the parsing routine. Port: 80/TCP; installed at /opt/app/.,Disable the vulnerable endpoint at /etc/apache2/ until the patch is applied. Implement WAF rules to block exploitation attempts.,7.8,10.0.158.21,443,TCP,gw-10-0-158-21,CVE-2023-13032
CVE-2023-89408: Unpatched wget 2.1.4 on Fedora 36. Multiple known CVEs affect this version. An attacker can forge authentication tokens by abusing a misconfigured SNMP community string. Port: 22/TCP; installed at /usr/lib/ssl/.,Disable the vulnerable endpoint at /etc/apache2/ until the patch is applied. Implement WAF rules to block exploitation attempts.,4.9,10.0.158.21,22,TCP,gw-10-0-158-21,CVE-2023-91960
"CVE-2019-16175: SNMP default community strings detected on Debian 10 (Buster). Device exposes MIB tree at /usr/lib/ssl/ without requiring authentication, permitting an attacker to enumerate internal network hosts by exploiting a use-after-free condition. Service: SNMPD 9.0.0; port 161/UDP.",Install OpenSSL >= 8.2.1 from the official repository. Recompile applications that statically link the library.,4.9,10.0.153.83,161,UDP,dc-10-0-153-83,CVE-2019-24544
CVE-2023-70752: Unpatched expat 8.2.1 on Fedora 36. Multiple known CVEs affect this version. An attacker can modify or delete critical system files by abusing a misconfigured SNMP community string. Port: 22/TCP; installed at /etc/openssl/.,Disable the vulnerable endpoint at /etc/apache2/ until the patch is applied. Implement WAF rules to block exploitation attempts.,8.9,192.168.2.34,21,TCP,fw-192-168-2-34,CVE-2023-78843
"TLS certificate on CentOS 7 (Nginx 1.2.3) expired on 2020-12-31. CVE-2023-24643: certificate chain validation fails, enabling a MITM attacker to crash the service and trigger a denial of service. Port: 443/TCP; cert path: /opt/app/.","Review and restrict sudoers rules in /srv/www/. Remove NOPASSWD entries for sensitive commands. Additionally, verify patch 22.",5.3,192.168.1.149,443,TCP,print-192-168-1-149,
"Stored XSS vulnerability in Jetty (3.1.2) on Fedora 36 (CVE-2021-74175). The comment field stores unescaped HTML, enabling attackers to steal session tokens or credentials. App at /etc/snmp/; port 8080/TCP.",Apply the vendor patch for CVE-2022-20008 immediately. Upgrade Lighttpd to version 6.0.0 or later.,5.1,192.168.1.225,443,TCP,print-192-168-1-225,
sudo version 1.3.7 on Oracle Linux 8 is outdated and affected by CVE-2023-16741. The package contains a known vulnerability that allows an attacker to escalate privileges to SYSTEM or root through reflected JavaScript payloads in query parameters. Package location: /srv/www/. Port: 21/TCP.,Disable the vulnerable endpoint at /etc/apache2/ until the patch is applied. Implement WAF rules to block exploitation attempts.,5.8,10.2.14.246,22,TCP,nas-10-2-14-246,CVE-2023-19813
"BoringSSL version 5.2.0 on Oracle Linux 8 is affected by CVE-2022-89354. The library implements deprecated TLS 1.1 ciphersuites, allowing an attacker to crash the service and trigger a denial of service by exploiting weak entropy in session token generation. Affected path: /etc/nginx/. Port: 995/TCP.",Set SSLCipherSuite to HIGH:!aNULL:!MD5:!3DES in /etc/nginx/. Verify with 'nmap --script ssl-enum-ciphers'.,7.6,192.168.10.55,8443,TCP,dc-192-168-10-55,
CVE-2023-99912: OAuth2 CSRF vulnerability in LDAP 8.0.3 on Alpine Linux 3.17. Missing state parameter allows attackers to exfiltrate confidential data from the host via an integer overflow in the parsing routine. Port: 8443/TCP; config: /usr/local/bin/.,Disable SSH password authentication; require key-based auth only. Set 'PasswordAuthentication no' in /etc/snmp/sshd_config.,8.4,192.168.1.103,443,TCP,srv-192-168-1-103,CVE-2023-83778
"CVE-2022-15161: Template injection leading to RCE in Tomcat 1.1.0 on Debian 11 (Bullseye). Server-side template expressions are evaluated from user input at /opt/app/, enabling an attacker to crash the service and trigger a denial of service through a specially crafted packet. Port: 443/TCP.",Replace end-of-life sudo (9.0.0) with the latest maintained version. Update lock files.,7.9,10.0.248.24,8080,TCP,web-10-0-248-24,CVE-2022-41439
"CVE-2021-29672: Missing Content-Security-Policy header on IIS 9.0.0 (Debian 10 (Buster)). Without CSP, an attacker can enumerate internal network hosts via an integer overflow in the parsing routine. Web root: /etc/snmp/; port 443/TCP.",Disable the vulnerable endpoint at /etc/apache2/ until the patch is applied. Implement WAF rules to block exploitation attempts.,4.1,10.2.97.1,443,TCP,gw-10-2-97-1,CVE-2021-16991
"MbedTLS version 6.0.0 on Fedora 36 is affected by CVE-2022-40886. The library implements deprecated TLS 1.1 ciphersuites, allowing an attacker to perform man-in-the-middle attacks through a specially crafted packet. Affected path: C:\Windows\System32\. Port: 443/TCP.",Generate a new CSR and obtain a renewed certificate from Let. Update the certificate at C:\Windows\System32\.,8.2,10.1.6.190,443,TCP,app-10-1-6-190,CVE-2022-38043
CVE-2023-98396: Unpatched sudo 1.1.0 on CentOS 7. Multiple known CVEs affect this version. An attacker can steal session tokens or credentials by exploiting a use-after-free condition. Port: 21/TCP; installed at /usr/lib/ssl/.,Disable the vulnerable endpoint at /etc/apache2/ until the patch is applied. Implement WAF rules to block exploitation attempts.,6.0,192.168.10.27,80,TCP,ws-192-168-10-27,
CVE-2023-94555: Unpatched wget 9.0.0 on Windows 11 Pro. Multiple known CVEs affect this version. An attacker can execute arbitrary code with elevated privileges by sending a malformed TLS ClientHello. Port: 443/TCP; installed at C:\Program Files\.,Disable the vulnerable endpoint at /etc/apache2/ until the patch is applied. Implement WAF rules to block exploitation attempts.,5.7,10.1.173.190,443,TCP,nas-10-1-173-190,CVE-2023-69258
"MbedTLS version 5.0.1 on CentOS 8 Stream is affected by CVE-2022-52179. The library implements deprecated TLS 1.0 ciphersuites, allowing an attacker to gain root-level access to the system by exploiting weak entropy in session token generation. Affected path: /usr/share/snmp/. Port: 636/TCP.","Use Windows Update / WSUS to apply KB5026361 and restart the system. Additionally, verify patch 23.",8.9,172.16.1.36,993,TCP,gw-172-16-1-36,CVE-2022-35485
"Stack-based buffer overflow in FreeBSD kernel (version 3.1.2) on Oracle Linux 8 — CVE-2021-83706. The vulnerability exists in the memcpy call at C:\Program Files\, enabling an attacker to exfiltrate confidential data from the host.","Configure iptables/nftables to drop inbound traffic on ports 21 from untrusted sources. Additionally, verify patch 40.",8.2,10.2.171.166,23,TCP,app-10-2-171-166,CVE-2021-49369
"CVE-2019-74251: SNMP default community strings detected on Debian 10 (Buster). Device exposes MIB tree at C:\inetpub\wwwroot\ without requiring authentication, permitting an attacker to exfiltrate confidential data from the host through a race condition in the kernel scheduler. Service: SNMPD 2.0.0; port 162/UDP.",Upgrade OpenSSL to version 4.0.0 or later. Apply vendor security advisory and restart dependent services.,6.1,192.168.2.62,162,UDP,srv-192-168-2-62,CVE-2019-57735
"Blind SQL injection in Tomcat (1.3.7) on Debian 11 (Bullseye) (CVE-2022-48086). The 'ref' query parameter is not parameterized in /home/user/.ssh/, enabling an attacker to enumerate internal network hosts. Database: SQLite; port 8080/TCP.",Configure Content-Security-Policy in /var/www/html/ to restrict script sources. Add X-Content-Type-Options: nosniff.,8.2,10.0.170.210,3306,TCP,nas-10-0-170-210,CVE-2022-36100
"CVE-2022-48068: Template injection leading to RCE in Apache httpd 2.3.1 on Windows Server 2016. Server-side template expressions are evaluated from user input at /etc/openssl/, enabling an attacker to gain root-level access to the system via an integer overflow in the parsing routine. Port: 22/TCP.",Run 'pip install --upgrade libxml2' or 'npm audit fix' to update vulnerable dependencies at /var/www/html/.,9.1,172.16.0.230,8080,TCP,print-172-16-0-230,CVE-2022-86858
"Outdated Realtek Ethernet driver (4.1.3) installed on Windows Server 2022 (CVE-2018-47347). The driver exposes an IOCTL handler with insufficient input validation, allowing a local attacker to enumerate internal network hosts. Path: /usr/lib/ssl/.",Enable DNSSEC signing for all zones. Update BIND/Unbound to version 1.1.0 and apply current security advisories.,3.9,192.168.2.208,139,TCP,srv-192-168-2-208,
CVE-2022-53515: OpenSSL 5.2.0 on Debian 10 (Buster) ships with a vulnerable TLS stack. An attacker by abusing a misconfigured SNMP community string could inject malicious payloads into database queries. Binaries located at /etc/ssl/certs/. Listening on port 8443/TCP.,"Change the SNMP community string from 'public' to a strong, random value. Restrict SNMP access by IP in /var/www/html/snmpd.conf.",5.9,10.2.129.234,993,TCP,ws-10-2-129-234,CVE-2022-59441
"The SNMP agent running on Debian 11 (Bullseye) (version 5.2.0) exposes management data without authentication (CVE-2019-33819). SNMPv1/v2c community strings are transmitted in cleartext, enabling a network attacker to execute arbitrary code with elevated privileges. Affected service: Cisco IOS SNMP on port 162/UDP.",Install OpenSSL >= 1.3.7 from the official repository. Recompile applications that statically link the library.,4.1,10.1.155.163,162,UDP,db-10-1-155-163,CVE-2019-48687
"SUID binary misconfiguration on Ubuntu 18.04 LTS (CVE-2022-14339). The sudo binary at /etc/ssl/certs/ has incorrect SUID bits, allowing a local user to modify or delete critical system files through a race condition in the kernel scheduler. OS: Ubuntu 18.04 LTS; port 22/TCP.","Segment the network using VLANs to isolate critical systems. Restrict inter-VLAN routing with firewall ACLs. Additionally, verify patch 16.",8.4,10.1.113.207,3389,TCP,nas-10-1-113-207,CVE-2022-31465
CVE-2022-13826: MbedTLS 9.0.0 on CentOS 7 ships with a vulnerable TLS stack. An attacker through reflected JavaScript payloads in query parameters could escalate privileges to SYSTEM or root. Binaries located at C:\inetpub\wwwroot\. Listening on port 993/TCP.,Generate a new CSR and obtain a renewed certificate from Comodo. Update the certificate at /etc/ssh/.,8.4,10.0.58.18,8443,TCP,srv-10-0-58-18,CVE-2022-80282
CVE-2022-88579: Time-based SQLi in IIS on Ubuntu 18.04 LTS. Unsanitized ORDER BY clause allows an attacker to forge authentication tokens by exploiting a use-after-free condition. Affected app: /etc/ssl/certs/; port 1433/TCP.,Configure Content-Security-Policy in /var/www/html/ to restrict script sources. Add X-Content-Type-Options: nosniff.,7.8,172.16.0.172,8080,TCP,fw-172-16-0-172,CVE-2022-87607
Nginx 6.0.0 on CentOS 7 is affected by a critical RCE vulnerability (CVE-2022-74920). An unauthenticated remote attacker can escalate privileges to SYSTEM or root by exploiting weak entropy in session token generation. Vulnerable endpoint: /etc/openssl/. Port: 8080/TCP.,Replace end-of-life sudo (9.0.0) with the latest maintained version. Update lock files.,7.8,10.1.250.195,443,TCP,nas-10-1-250-195,CVE-2022-44795
CVE-2023-99912: OAuth2 CSRF vulnerability in LDAP 8.0.3 on Alpine Linux 3.17. Missing state parameter allows attackers to exfiltrate confidential data from the host via an integer overflow in the parsing routine. Port: 8443/TCP; config: /usr/local/bin/.,Update PuTTY to version 2.1.4. Disable SSH protocol 1 and weak key exchange algorithms.,7.7,172.16.1.136,443,TCP,app-172-16-1-136,CVE-2023-28352
CVE-2023-98396: Unpatched sudo 1.1.0 on CentOS 7. Multiple known CVEs affect this version. An attacker can steal session tokens or credentials by exploiting a use-after-free condition. Port: 21/TCP; installed at /usr/lib/ssl/.,Disable the vulnerable endpoint at /etc/apache2/ until the patch is applied. Implement WAF rules to block exploitation attempts.,2.8,172.16.0.31,21,TCP,print-172-16-0-31,CVE-2023-75976
"BoringSSL version 5.2.0 on Fedora 37 is affected by CVE-2022-17026. The library implements deprecated TLS 1.1 ciphersuites, allowing an attacker to execute arbitrary code with elevated privileges through reflected JavaScript payloads in query parameters. Affected path: /usr/lib/ssl/. Port: 8443/TCP.",Generate a new CSR and obtain a renewed certificate from s Encrypt. Update the certificate at /etc/nginx/.,6.7,10.1.168.111,636,TCP,fw-10-1-168-111,CVE-2022-56105
CVE-2021-82686: Linux kernel 6.0.0 on Windows Server 2016 is vulnerable to an integer overflow leading to a buffer overwrite. An attacker can exfiltrate confidential data from the host via an integer overflow in the parsing routine. Kernel module path: /usr/local/bin/; exposed via port 23/TCP.,"Add firewall rules to restrict access to port 22 to authorized management networks only. Additionally, verify patch 34.",9.4,192.168.2.157,23,TCP,nas-192-168-2-157,CVE-2021-14361
VMware VMXNET3 driver version 1.3.7 on Debian 12 (Bookworm) contains a compatibility flaw (CVE-2018-44205). An unprivileged local attacker can steal session tokens or credentials through a specially crafted packet. Affected driver binary: /etc/snmp/. Port: 139/TCP.,Configure Content-Security-Policy in C:\inetpub\wwwroot\ to restrict script sources. Add X-Content-Type-Options: nosniff.,4.5,172.16.1.65,445,TCP,srv-172-16-1-65,
"NSS version 3.1.2 on Ubuntu 22.04 LTS is affected by CVE-2022-42847. The library implements deprecated TLS 1.0 ciphersuites, allowing an attacker to enumerate internal network hosts by abusing a misconfigured SNMP community string. Affected path: /var/lib/mysql/. Port: 8443/TCP.",Generate a new CSR and obtain a renewed certificate from DigiCert. Update the certificate at /var/log/.,7.1,10.2.129.234,993,TCP,ws-10-2-129-234,
Linux kernel 6.0.0 on Windows Server 2022 contains a heap-based buffer overflow (CVE-2021-55943). A local or remote attacker can escalate privileges to SYSTEM or root by exploiting weak entropy in session token generation. Affected subsystem: memory allocator. Port: 23/TCP.,"Add firewall rules to restrict access to port 22 to authorized management networks only. Additionally, verify patch 34.",8.3,172.16.0.49,22,TCP,ws-172-16-0-49,CVE-2021-28877
Windows NT kernel 4.0.0 on CentOS 7 is affected by a local privilege escalation (CVE-2022-97275). A low-privileged attacker can enumerate internal network hosts via an integer overflow in the parsing routine. Affected path: /opt/app/. Port: 3389/TCP.,Disable and stop unnecessary services: 'systemctl disable --now telnet'. Remove associated packages.,7.9,192.168.2.238,22,TCP,dc-192-168-2-238,CVE-2022-10726
"Jetty 8.2.1 on Fedora 37 is configured to accept weak cryptographic ciphers (CVE-2020-80275). Supported suites include NULL ciphers, allowing a MITM attacker to enumerate internal network hosts. Config file: /var/www/html/. Port: 8443/TCP.",Apply input validation and output encoding. Use ORM frameworks to prevent raw SQL injection. Review query at /var/www/html/.,6.0,10.0.191.81,8443,TCP,srv-10-0-191-81,
Weak cipher suite enabled on Alpine Linux 3.17 running GnuTLS 4.1.3 (CVE-2020-56570). The CBC cipher allows an attacker to read sensitive memory contents via SQL metacharacter injection in the login form. Port: 8443/TCP; config: /etc/ssl/certs/.,Apply the kernel patch provided in CVE-2022-51321 bulletin. Reboot the system after the update.,4.9,192.168.2.62,443,TCP,srv-192-168-2-62,CVE-2020-75350
